Date,px_da,px_rt,px_up,px_down,px_spin
2022-01-31 00:00:00,26.48,16.47,3,4,2.5
2022-01-31 01:00:00,22.02,12.34,3,3,2.38
2022-01-31 02:00:00,22.97,20.3,3.5,3.5,2.38
2022-01-31 03:00:00,27.7,23.16,3.59,3.59,2.38
2022-01-31 04:00:00,31.2,26.38,4.17,4,3.97
2022-01-31 05:00:00,41.51,29.34,11,10.98,10
2022-01-31 06:00:00,56.9,43.65,24.15,7.5,21.76
2022-01-31 07:00:00,71.43,99.99,29.15,12,29.15
2022-01-31 08:00:00,60.05,132.33,19.14,18.59,19.14
2022-01-31 09:00:00,43.73,48.6,10.78,11.33,10.16
2022-01-31 10:00:00,39.96,43.5,6.65,10,6.15
2022-01-31 11:00:00,36.37,32.6,6.52,6.52,5.54
2022-01-31 12:00:00,34.47,30.66,4.64,8,3.54
2022-01-31 13:00:00,31.06,29.52,3.6,8,2.7
2022-01-31 14:00:00,29.24,24.45,4.22,8,3.5
2022-01-31 15:00:00,29.15,22.19,3.61,5,3.01
2022-01-31 16:00:00,30.51,23.44,7.15,6.22,4.01
2022-01-31 17:00:00,81.82,31.83,46.25,7.01,46.15
2022-01-31 18:00:00,71.72,34.98,30.51,15,30.51
2022-01-31 19:00:00,37.57,25.23,4.86,6.96,6.86
2022-01-31 20:00:00,33.57,10.8,3.53,5.63,5.53
2022-01-31 21:00:00,24.84,-7.16,4.55,4.01,4.55
2022-01-31 22:00:00,15.79,-9.18,5,5.1,5
2022-01-31 23:00:00,11.41,-11.34,6,6.55,6