,DeliveryDate,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
13,2022-01-30 23:45:00,AMO_AMOCO_G1,PCCRN,22.92,N
13,2022-01-31 00:00:00,AMO_AMOCO_G1,PCCRN,21.67,N
13,2022-01-31 00:15:00,AMO_AMOCO_G1,PCCRN,7.94,N
13,2022-01-31 00:30:00,AMO_AMOCO_G1,PCCRN,13.15,N
13,2022-01-31 00:45:00,AMO_AMOCO_G1,PCCRN,20.55,N
13,2022-01-31 01:00:00,AMO_AMOCO_G1,PCCRN,13.23,N
13,2022-01-31 01:15:00,AMO_AMOCO_G1,PCCRN,0.61,N
13,2022-01-31 01:30:00,AMO_AMOCO_G1,PCCRN,16.16,N
13,2022-01-31 01:45:00,AMO_AMOCO_G1,PCCRN,13.25,N
13,2022-01-31 02:00:00,AMO_AMOCO_G1,PCCRN,13.91,N
13,2022-01-31 02:15:00,AMO_AMOCO_G1,PCCRN,18.05,N
13,2022-01-31 02:30:00,AMO_AMOCO_G1,PCCRN,21.15,N
13,2022-01-31 02:45:00,AMO_AMOCO_G1,PCCRN,21.65,N
13,2022-01-31 03:00:00,AMO_AMOCO_G1,PCCRN,21.4,N
13,2022-01-31 03:15:00,AMO_AMOCO_G1,PCCRN,22.92,N
13,2022-01-31 03:30:00,AMO_AMOCO_G1,PCCRN,22.82,N
13,2022-01-31 03:45:00,AMO_AMOCO_G1,PCCRN,22.93,N
13,2022-01-31 04:00:00,AMO_AMOCO_G1,PCCRN,26.61,N
13,2022-01-31 04:15:00,AMO_AMOCO_G1,PCCRN,27.4,N
13,2022-01-31 04:30:00,AMO_AMOCO_G1,PCCRN,26.07,N
13,2022-01-31 04:45:00,AMO_AMOCO_G1,PCCRN,25.45,N
13,2022-01-31 05:00:00,AMO_AMOCO_G1,PCCRN,25.68,N
13,2022-01-31 05:15:00,AMO_AMOCO_G1,PCCRN,26.33,N
13,2022-01-31 05:30:00,AMO_AMOCO_G1,PCCRN,32.21,N
13,2022-01-31 05:45:00,AMO_AMOCO_G1,PCCRN,33.13,N
13,2022-01-31 06:00:00,AMO_AMOCO_G1,PCCRN,34.98,N
13,2022-01-31 06:15:00,AMO_AMOCO_G1,PCCRN,40.16,N
13,2022-01-31 06:30:00,AMO_AMOCO_G1,PCCRN,45.19,N
13,2022-01-31 06:45:00,AMO_AMOCO_G1,PCCRN,54.27,N
13,2022-01-31 07:00:00,AMO_AMOCO_G1,PCCRN,59.67,N
13,2022-01-31 07:15:00,AMO_AMOCO_G1,PCCRN,100.62,N
13,2022-01-31 07:30:00,AMO_AMOCO_G1,PCCRN,105.16,N
13,2022-01-31 07:45:00,AMO_AMOCO_G1,PCCRN,130.61,N
13,2022-01-31 08:00:00,AMO_AMOCO_G1,PCCRN,386.81,N
13,2022-01-31 08:15:00,AMO_AMOCO_G1,PCCRN,57.18,N
13,2022-01-31 08:30:00,AMO_AMOCO_G1,PCCRN,46.8,N
13,2022-01-31 08:45:00,AMO_AMOCO_G1,PCCRN,38.53,N
13,2022-01-31 09:00:00,AMO_AMOCO_G1,PCCRN,60.59,N
13,2022-01-31 09:15:00,AMO_AMOCO_G1,PCCRN,43.47,N
13,2022-01-31 09:30:00,AMO_AMOCO_G1,PCCRN,47.42,N
13,2022-01-31 09:45:00,AMO_AMOCO_G1,PCCRN,42.92,N
13,2022-01-31 10:00:00,AMO_AMOCO_G1,PCCRN,46.51,N
13,2022-01-31 10:15:00,AMO_AMOCO_G1,PCCRN,50.27,N
13,2022-01-31 10:30:00,AMO_AMOCO_G1,PCCRN,40.39,N
13,2022-01-31 10:45:00,AMO_AMOCO_G1,PCCRN,36.81,N
13,2022-01-31 11:00:00,AMO_AMOCO_G1,PCCRN,34.47,N
13,2022-01-31 11:15:00,AMO_AMOCO_G1,PCCRN,33.38,N
13,2022-01-31 11:30:00,AMO_AMOCO_G1,PCCRN,31.56,N
13,2022-01-31 11:45:00,AMO_AMOCO_G1,PCCRN,31.0,N
13,2022-01-31 12:00:00,AMO_AMOCO_G1,PCCRN,30.95,N
13,2022-01-31 12:15:00,AMO_AMOCO_G1,PCCRN,30.46,N
13,2022-01-31 12:30:00,AMO_AMOCO_G1,PCCRN,30.74,N
13,2022-01-31 12:45:00,AMO_AMOCO_G1,PCCRN,30.5,N
13,2022-01-31 13:00:00,AMO_AMOCO_G1,PCCRN,30.58,N
13,2022-01-31 13:15:00,AMO_AMOCO_G1,PCCRN,30.44,N
13,2022-01-31 13:30:00,AMO_AMOCO_G1,PCCRN,28.93,N
13,2022-01-31 13:45:00,AMO_AMOCO_G1,PCCRN,28.12,N
13,2022-01-31 14:00:00,AMO_AMOCO_G1,PCCRN,25.44,N
13,2022-01-31 14:15:00,AMO_AMOCO_G1,PCCRN,25.39,N
13,2022-01-31 14:30:00,AMO_AMOCO_G1,PCCRN,24.2,N
13,2022-01-31 14:45:00,AMO_AMOCO_G1,PCCRN,22.78,N
13,2022-01-31 15:00:00,AMO_AMOCO_G1,PCCRN,21.84,N
13,2022-01-31 15:15:00,AMO_AMOCO_G1,PCCRN,21.86,N
13,2022-01-31 15:30:00,AMO_AMOCO_G1,PCCRN,22.42,N
13,2022-01-31 15:45:00,AMO_AMOCO_G1,PCCRN,22.62,N
13,2022-01-31 16:00:00,AMO_AMOCO_G1,PCCRN,22.89,N
13,2022-01-31 16:15:00,AMO_AMOCO_G1,PCCRN,22.94,N
13,2022-01-31 16:30:00,AMO_AMOCO_G1,PCCRN,23.28,N
13,2022-01-31 16:45:00,AMO_AMOCO_G1,PCCRN,24.65,N
13,2022-01-31 17:00:00,AMO_AMOCO_G1,PCCRN,25.65,N
13,2022-01-31 17:15:00,AMO_AMOCO_G1,PCCRN,30.87,N
13,2022-01-31 17:30:00,AMO_AMOCO_G1,PCCRN,33.82,N
13,2022-01-31 17:45:00,AMO_AMOCO_G1,PCCRN,36.96,N
13,2022-01-31 18:00:00,AMO_AMOCO_G1,PCCRN,37.41,N
13,2022-01-31 18:15:00,AMO_AMOCO_G1,PCCRN,37.17,N
13,2022-01-31 18:30:00,AMO_AMOCO_G1,PCCRN,34.84,N
13,2022-01-31 18:45:00,AMO_AMOCO_G1,PCCRN,31.74,N
13,2022-01-31 19:00:00,AMO_AMOCO_G1,PCCRN,29.97,N
13,2022-01-31 19:15:00,AMO_AMOCO_G1,PCCRN,27.73,N
13,2022-01-31 19:30:00,AMO_AMOCO_G1,PCCRN,25.51,N
13,2022-01-31 19:45:00,AMO_AMOCO_G1,PCCRN,24.73,N
13,2022-01-31 20:00:00,AMO_AMOCO_G1,PCCRN,24.63,N
13,2022-01-31 20:15:00,AMO_AMOCO_G1,PCCRN,23.32,N
13,2022-01-31 20:30:00,AMO_AMOCO_G1,PCCRN,22.22,N
13,2022-01-31 20:45:00,AMO_AMOCO_G1,PCCRN,21.5,N
13,2022-01-31 21:00:00,AMO_AMOCO_G1,PCCRN,22.34,N
13,2022-01-31 21:15:00,AMO_AMOCO_G1,PCCRN,22.32,N
13,2022-01-31 21:30:00,AMO_AMOCO_G1,PCCRN,21.72,N
13,2022-01-31 21:45:00,AMO_AMOCO_G1,PCCRN,21.9,N
13,2022-01-31 22:00:00,AMO_AMOCO_G1,PCCRN,21.23,N
13,2022-01-31 22:15:00,AMO_AMOCO_G1,PCCRN,20.8,N
13,2022-01-31 22:30:00,AMO_AMOCO_G1,PCCRN,20.71,N
13,2022-01-31 22:45:00,AMO_AMOCO_G1,PCCRN,20.64,N
13,2022-01-31 23:00:00,AMO_AMOCO_G1,PCCRN,20.76,N
13,2022-01-31 23:15:00,AMO_AMOCO_G1,PCCRN,18.12,N
13,2022-01-31 23:30:00,AMO_AMOCO_G1,PCCRN,12.95,N
